경찰청대분류,경찰청세분류,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
경찰청대분류,경찰청세분류,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,횡단중,횡단중,횡단중,차도통행중,차도통행중,차도통행중,길가장자리구역통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,보도통행중,기타,기타,기타,정면충돌,정면충돌,정면충돌,측면충돌,측면충돌,측면충돌,추돌,추돌,추돌,기타,기타,기타,후진중충돌,후진중충돌,후진중충돌,공작물충돌,공작물충돌,공작물충돌,주/정차차량 충돌,주/정차차량 충돌,주/정차차량 충돌,도로이탈,도로이탈,도로이탈,기타,기타,기타,전도,전도,전도,전복,전복,전복,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명]
부산지방경찰청,부산사상,61,3,64,22,0,23,9,0,9,18,1,21,45,0,46,29,0,34,194,3,266,107,1,140,70,1,87,2,0,3,6,0,7,-,-,-,-,-,-,8,1,7,-,-,-,-,-,-,-,-,-
부산지방경찰청,부산기장,39,3,39,4,0,4,3,0,3,5,0,6,43,1,44,17,0,39,76,1,104,105,0,197,140,3,204,4,0,6,3,1,2,-,-,-,-,-,-,2,0,4,-,-,-,-,-,-,-,-,-
부산지방경찰청,8지구대,-,-,-,-,-,-,-,-,-,-,-,-,2,0,3,1,0,5,90,1,162,119,1,300,136,2,239,-,-,-,7,5,6,-,-,-,-,-,-,2,0,2,-,-,-,1,0,1,-,-,-
대구지방경찰청,대구남부,34,1,34,11,0,11,1,0,1,11,0,11,59,0,68,16,0,23,223,0,314,92,0,161,138,0,202,15,0,20,7,1,19,-,-,-,-,-,-,8,0,10,2,0,2,-,-,-,-,-,-
대구지방경찰청,대구동부,102,3,104,28,0,28,25,0,26,26,0,26,89,1,94,63,0,112,671,1,992,193,0,328,180,0,262,41,0,58,23,2,26,1,1,0,3,0,3,17,0,19,16,0,16,1,0,1,-,-,-
대구지방경찰청,대구수성,135,1,140,31,0,31,19,0,19,29,0,31,136,0,141,31,0,50,721,0,"1,107",350,1,592,479,0,701,37,0,48,11,3,9,1,1,0,-,-,-,26,0,29,4,0,4,3,1,2,-,-,-
대구지방경찰청,대구달서,129,2,132,29,0,29,19,0,20,17,0,17,75,1,76,19,1,26,662,1,"1,005",180,1,285,186,0,247,28,0,37,14,0,15,-,-,-,1,0,1,14,0,15,1,0,1,-,-,-,-,-,-
대구지방경찰청,대구달성,44,0,46,6,0,6,5,0,5,15,1,17,59,1,61,25,2,41,136,2,213,85,1,129,390,2,579,12,0,17,16,0,19,-,-,-,1,0,1,8,0,8,6,0,6,1,0,2,-,-,-
대구지방경찰청,대구북부,64,2,64,14,0,14,5,0,5,13,1,13,72,1,74,38,1,46,368,1,500,154,0,262,186,0,238,11,0,11,7,0,8,-,-,-,-,-,-,13,0,13,6,1,5,-,-,-,-,-,-
대구지방경찰청,대구서부,42,1,43,34,1,33,16,0,16,16,0,16,67,1,69,33,0,54,429,0,625,151,1,269,111,2,144,14,0,24,6,0,6,-,-,-,-,-,-,21,0,23,7,0,7,2,0,2,-,-,-
